name,game,release,version,filename,filesize,md5,sha1,crc32
Doom II,Doom II,No Rest for the Living,Unity,NERVE.WAD,3821966,4214c47651b63ee2257b1c2490a518c9,321e951f6cc6e9d51bc16eac53e0d001f0f3f338,AB68447F
Doom II,Doom II,No Rest for the Living,KEX,nerve.wad,4039441,23422eb42833ac7b0dd59c0c7ae18a6f,4522eaec7a13aac24b456e29520e99ac879e6989,07D9FAAB
Doom,Legacy of Rust,2025.01-verified,id1.wad,34816890,713c5a3c1734b1d55b2813a3dd0136d9,ae0ad951f475e6b10dd258a8d3eb7f1ee57b1bb9,666CB0E0
SIGIL,Doom,SIGIL,1.0,SIGIL.wad,4473686,f53ffc4fb89e966839bb8d20c632819a,5e5241f49f0dbb7a6f6df3d46b494c1e163a2c53,E74B2233
SIGIL,Doom,SIGIL,1.1,SIGIL.wad,4525740,1fe9daa0e837c7452eb2f91aac2cc983,1d95e599a1587d1130bf24356a73b817ac2c1b57,5A80C2CD
SIGIL,Doom,SIGIL,1.2,SIGIL_v1_2.wad,4639917,427ca995600970abcd2efcc684a64c88,ca88fa5749e494af5a757866c14008c305428ab6,8292A285
SIGIL,Doom,SIGIL,1.21,SIGIL_v1_21.wad,4640210,743d6323cb2b9be24c258ff0fc350883,e2efdf379e1383c4e15c03de89063361897cd459,F9216574
SIGIL,Doom,SIGIL,1.23,SIGIL_V1_23.wad,4640555,edd5c3dfd3fb1c981cf7390c5c14454e,c8ae9fb652d173212809da21c87803856fa9407b,C913116E
SIGIL,Doom,SIGIL,1.23 Registered,SIGIL_V1_23_REG.wad,166530532,25c5835ec5352c9587440b7403ff6e8f,92cfe7df72a459bfe439eb7ad792c3b07510e38b,087CBCC7
SIGIL,Doom,SIGIL,KEX,sigil.wad,4660156,08ee05388c137db5f5d7996e89425b95,89186ec316fe2ad7e065e685604230b60ee3bb29,C1280F17
SIGIL,Doom,SIGIL Compatible,1.0,SIGIL_COMPAT.wad,4468256,a775262ca0e423468196803b71a57a43,c7b52480221678f96daf8b8c34d08e05a4591704,ABAEF919
SIGIL,Doom,SIGIL Compatible,1.1,SIGIL_COMPAT.wad,4483345,c04912beab6aa82c114a19c976ec8c0d,60641c2519ba95565c714de09b1cf1358c4905fd,4FA56FDB
SIGIL,Doom,SIGIL Compatible,1.2,SIGIL_COMPAT_v1_2.wad,4633831,9285e9cc2dbd87d238baab37d700c644,90e02ee6fd023f6d62a64d71c05c4f00a841e7bd,C2E2F76B
SIGIL,Doom,SIGIL Compatible,1.21,SIGIL_COMPAT_v1_21.wad,4634157,573f3f178c76709f512089ed15484391,b5e68950820b3a0385375dbace81376e73568207,B7679050
SIGIL,Doom,SIGIL Compatible,1.23,SIGIL_COMPAT_V1_23.wad,4634503,e4c5ab58e226bfcc8761f35204aeb3fc,b5493e3d1f19795ca856602ad50eeb3833166738,1B9E4FF7
SIGIL,Doom,SIGIL Compatible,Unity,SIGIL.wad,4646543,94cd9ea558989c1eb681d5f02a2fe47e,7ed2c2293daf8a6f3f39e7ed24d1446b9b28e473,983C19A3
SIGIL,Doom,SIGIL Buckethead Music,release,SIGIL_SHREDS.wad,162146269,b424dcf46ae55a496c34ac37cce32646,efdc3b2255a50b1b058ac609044cbd5e36029bc4,CF88488F
